hour;date;Índice de calor;Humedad relativa;Presión de vapor;Radiación solar;Temperatura;Punto de rocío;Temperatura del bulbo húmedo;Velocidad del viento;Racha de viento máxima;Dirección del viento;Humectación en hoja (porcentaje);Presión atmosférica;Precipitaciones
15;20/05/2024;15,775;60,75;18,3925;529,5;15,775;8,12;11,78940854;3,5;8,5;56,25;0;931,65;0
16;20/05/2024;17,675;55,25;20,655;489;17,675;8,5275;12,80465804;2,75;7,75;95,625;0;930,975;0
17;20/05/2024;18,65;48,5;21,9275;263,25;18,65;7,4525;12,77111199;2,75;6,25;213,75;0;930,55;0
18;20/05/2024;19,55;43,25;23,1175;222;19,55;6,655;12,8385108;3;6,75;236,25;0;930,225;0
19;20/05/2024;17,6;49,75;20,5825;189,75;17,6;6,8325;12,0574492;3;7,75;157,5;0;930,325;0
20;20/05/2024;14,975;61,5;17,5025;59,25;14,975;7,555;11,17524144;4;9,75;236,25;0;930,875;0
21;20/05/2024;13,925;70;16,3925;4,5;13,925;8,4775;11,10704211;2;6;213,75;9,25;931,575;0
22;20/05/2024;12,375;77;14,875;0;12,375;8,4125;10,35299621;5,75;11;78,75;3;932,475;0
23;20/05/2024;11,325;83,75;13,9175;0;11,325;8,64;9,96094289;6,25;9,75;11,25;0;932,775;0
0;21/05/2024;10,525;87,75;13,2275;0;10,525;8,555;9,532321565;1,5;3,5;78,75;0;932,875;0
1;21/05/2024;9,75;91,5;12,59;0;9,75;8,415;9,083693348;0,25;1,5;112,5;2,25;933,2;0
2;21/05/2024;8,775;94,25;11,8225;0;8,775;7,89;8,341877956;0,5;2,25;135;5,5;933,075;0
3;21/05/2024;8,725;95,75;11,7825;0;8,725;8,075;8,405854168;0,75;2,5;67,5;6,75;933,125;0
4;21/05/2024;7,725;95,75;11,045;0;7,725;7,08;7,417890062;0,25;1,25;33,75;6;933,125;0
5;21/05/2024;7,025;96;10,5525;0;7,025;6,425;6,744040057;0,25;1,5;33,75;6,25;933,225;0
6;21/05/2024;7;96,75;10,5325;0;7;6,5125;6,772268332;0,25;1;67,5;7,5;933,35;0
7;21/05/2024;7,325;97;10,765;31,5;7,325;6,875;7,112029231;0,25;1;146,25;10,25;933,675;0
8;21/05/2024;8,075;96,5;11,2975;80,25;8,075;7,545;7,818800184;1,25;2,75;163,125;17;933,975;0
9;21/05/2024;9,425;93,75;12,3325;125,25;9,425;8,4525;8,940594454;1,75;4;185,625;6,25;934,4;0
10;21/05/2024;12,2;85;14,7275;511,5;12,2;9,7125;10,8957959;3,5;7;180;0;934,675;0
11;21/05/2024;14,775;70,75;17,28;361,5;14,775;9,455;11,95618736;2,25;6;174,375;0;934,675;0
12;21/05/2024;16,775;60;19,545;433,5;16,775;8,9;12,58843754;2,75;7;22,5;0;934,825;0
13;21/05/2024;16,95;57;19,7525;402,75;16,95;8,31;12,40383349;2,75;6,5;202,5;0;934,8;0
14;21/05/2024;17,75;54,75;20,7325;616,5;17,75;8,46;12,81867827;2,75;7,75;191,25;0;934,475;0
15;21/05/2024;17,425;56,25;20,3425;531,75;17,425;8,5375;12,71073898;4,25;11,5;202,5;0;934,425;0
16;21/05/2024;17,8;54;20,795;283,5;17,8;8,2925;12,7697007;3;7;213,75;0;934;0
17;21/05/2024;16,85;59,25;19,6275;243,75;16,85;8,775;12,56933081;2,5;5,25;247,5;0,75;933,725;0
18;21/05/2024;16,4;56,75;19,19;230,25;16,4;7,68;11,87054215;5;10,25;202,5;0;933,825;0
19;21/05/2024;15,25;55,75;17,8025;125,25;15,25;6,3675;10,80834975;4,25;8,75;236,25;0;933,8;0
20;21/05/2024;14,55;63,75;17,0675;70,5;14,55;7,57;11,0065181;4,75;10,25;225;0;934,975;0
21;21/05/2024;11,825;79,25;14,37;10,5;11,825;8,31;10,04655709;2,25;7,5;146,25;0;935,475;0
22;21/05/2024;10,375;87,5;13,1025;0;10,375;8,365;9,368215747;1,5;3;78,75;0;936,05;0
23;21/05/2024;9,95;89,25;12,75;0;9,95;8,2425;9,100441322;0,75;2,25;78,75;0;936,75;0
0;22/05/2024;9,95;89,5;12,75;0;9,95;8,285;9,120526069;0,5;1,75;78,75;0;936,925;0
1;22/05/2024;10,1;90,25;12,87;0;10,1;8,5575;9,326270624;1;2,5;168,75;13;937,05;0
2;22/05/2024;9,475;92,25;12,3725;0;9,475;8,265;8,874532901;0,75;1,75;157,5;15,75;936,725;0
3;22/05/2024;8,275;94,5;11,4475;0;8,275;7,435;7,869178093;1;3,25;213,75;15,5;936,5;0
4;22/05/2024;8,1;94,5;11,32;0;8,1;7,26;7,697100506;3,75;6,5;191,25;17,25;936,525;0
5;22/05/2024;7,8;95;11,0975;0;7,8;7,04;7,43816615;2,75;5,25;202,5;16,5;936,425;0
6;22/05/2024;7,1;95,5;10,6;0;7,1;6,42;6,783313032;2,75;5,25;202,5;16;936,525;0
7;22/05/2024;7,05;96;10,57;15;7,05;6,45;6,769362604;1,5;4,25;202,5;18;937,025;0
8;22/05/2024;8,025;95;11,265;69,75;8,025;7,2625;7,659593533;5,25;9,25;213,75;24,5;937,2;0
9;22/05/2024;9,75;89,75;12,605;199,5;9,75;8,1225;8,940175432;3,5;9,75;135;1,25;937,1;0
10;22/05/2024;12,55;79,25;15,0475;334,5;12,55;8,9925;10,71491845;4,25;11,75;140,625;0;937,225;0
11;22/05/2024;13,875;72,25;16,34;501;13,875;8,915;11,29367573;7;14,5;219,375;0;937,1;0
12;22/05/2024;14,075;69,5;16,5525;545,25;14,075;8,5225;11,20221593;9;16,25;157,5;0;937,15;0
13;22/05/2024;15,625;61,75;18,22;572,25;15,625;8,235;11,78171673;6;14,5;225;0;936,925;0
14;22/05/2024;16,975;50,75;19,7875;282,75;16,975;6,57;11,69366563;8,5;18,25;157,5;0;936,7;0
15;22/05/2024;18,3;43,5;21,4375;786,75;18,3;5,58;11,89723081;7,25;18;191,25;0;936,35;0
16;22/05/2024;18,45;45;21,6275;659,25;18,45;6,2225;12,20732956;6,5;16,5;185,625;0;935,8;0
17;22/05/2024;18,6;44,5;21,8225;274,5;18,6;6,2075;12,26405606;9,75;20,25;185,625;0;935,375;0
18;22/05/2024;18,075;47;21,155;181,5;18,075;6,4975;12,14691399;4,75;12,25;168,75;0;935,4;0
19;22/05/2024;17,075;53,25;19,8975;166,5;17,075;7,4125;12,07836388;3;7,25;309,375;0;935,45;0
20;22/05/2024;13,8;70,25;16,2725;45;13,8;8,3975;11,01916717;4,5;10,5;146,25;8,25;936,025;0
21;22/05/2024;12,7;82;15,1775;10,5;12,7;9,6725;11,11505781;1,25;3,25;101,25;12,25;936,5;0
22;22/05/2024;12,35;84,25;14,85;0;12,35;9,7375;10,98394755;2,75;5,5;123,75;17;937,3;0
23;22/05/2024;11,225;86;13,83;0;11,225;8,945;10,06160939;6,25;9,25;16,875;0,25;937,75;0
0;23/05/2024;9,8;88;12,6325;0;9,8;7,885;8,855196936;4,75;7,25;106,875;0;937,95;0
1;23/05/2024;8,3;90;11,465;0;8,3;6,735;7,558300883;2;3,5;22,5;2;938,125;0
2;23/05/2024;7,45;92;10,8475;0;7,45;6,22;6,87739789;1,5;3;106,875;7,75;938,15;0
3;23/05/2024;6,575;93,75;10,2475;0;6,575;5,625;6,143916075;1;2,75;0;6,5;938,35;0
4;23/05/2024;5,675;95;9,655;0;5,675;4,925;5,343242329;1,25;2,75;0;6,5;938,25;0
5;23/05/2024;5,225;96;9,375;0;5,225;4,635;4,964808075;1,25;3;0;7;938,35;0
6;23/05/2024;4,65;96;9,02;0,75;4,65;4,06;4,396080285;1;2;78,75;7;938,275;0
7;23/05/2024;5,525;96,75;9,57;55,5;5,525;5,0425;5,310447969;1;2,75;95,625;9,75;938,55;0
8;23/05/2024;8,1;88,5;11,3275;223,5;8,1;6,28;7,245056328;2,25;4;50,625;13;938,65;0
9;23/05/2024;10,425;79,5;13,15;408,75;10,425;6,98;8,751429883;5,75;10,25;11,25;0;938,775;0
10;23/05/2024;12,7;68,5;15,19;567;12,7;6,975;9,865780894;8,5;13,5;22,5;0;938,625;0
11;23/05/2024;14,5;58,5;16,99;699;14,5;6,3875;10,47206607;9,25;14,25;61,875;0;938,475;0
12;23/05/2024;16,025;53,25;18,67;868,5;16,025;6,43;11,20034807;6,5;12,25;45;0;938,15;0
13;23/05/2024;16,825;51,25;19,6125;846,75;16,825;6,625;11,64165033;5,75;13;11,25;0;937,8;0
14;23/05/2024;17,5;48,25;20,4275;744,75;17,5;6,37;11,84265815;4,75;11,5;101,25;0;937,25;0
15;23/05/2024;18,4;45,25;21,56;797,25;18,4;6,2625;12,20197508;5;12;118,125;0;936,8;0
16;23/05/2024;19,125;42;22,5225;565,5;19,125;5,845;12,36020939;5,25;11,5;67,5;0;936,4;0
17;23/05/2024;19,7;42,5;23,315;579,75;19,7;6,5375;12,87659579;6;13,75;140,625;0;936,1;0
18;23/05/2024;19,075;43,5;22,4525;344,25;19,075;6,3075;12,51419409;7,5;12,5;33,75;0;935,925;0
19;23/05/2024;18,7;44;21,96;222,75;18,7;6,135;12,28009738;6,25;10,5;0;0;935,6;0
20;23/05/2024;17,55;47,5;20,485;54;17,55;6,195;11,79142202;7,5;11,25;11,25;0;935,725;0
21;23/05/2024;15,2;57,25;17,7675;9;15,2;6,685;10,91767658;3,25;5,25;78,75;0;936;0
22;23/05/2024;11,925;67,75;14,47;0;11,925;6,07;9,094934943;1,5;3,25;196,875;0;936,35;0
23;23/05/2024;10,7;74;13,3775;0;10,7;6,2025;8,545890998;4;8,25;28,125;0;936,975;0
0;24/05/2024;10,225;80,25;12,975;0;10,225;6,9375;8,63072377;7,75;11,5;28,125;0;937,15;0
1;24/05/2024;8,925;85,25;11,9375;0;8,925;6,555;7,797888075;5,75;9,5;0;0;937,275;0
2;24/05/2024;8,1;88,75;11,315;0;8,1;6,335;7,27087899;5,5;8,5;33,75;0;937,15;0
3;24/05/2024;7,475;91;10,865;0;7,475;6,0825;6,828901514;5;9;39,375;0;936,75;0
4;24/05/2024;6,975;92,75;10,5175;0;6,975;5,865;6,465950645;4,25;7;16,875;5,25;936,525;0
5;24/05/2024;6,675;93,75;10,3125;0;6,675;5,725;6,241930443;4,25;7;22,5;7;936,5;0
6;24/05/2024;6,55;94;10,2275;0,75;6,55;5,64;6,136450046;6;9,25;33,75;7,5;936,35;0
7;24/05/2024;6,775;93;10,385;58,5;6,775;5,705;6,285908024;5,25;8,25;11,25;8,25;936,575;0
8;24/05/2024;8,525;87,5;11,64;230,25;8,525;6,54;7,583817742;7,5;10,75;22,5;0;936,675;0
9;24/05/2024;10,825;79;13,4925;405;10,825;7,2825;9,08326943;8;12;95,625;0;936,625;0
10;24/05/2024;13,425;72,5;15,9025;561;13,425;8,525;10,90097942;7;11,5;5,625;0;936,575;0
11;24/05/2024;16,15;66,75;18,8125;693;16,15;9,9125;12,78593174;5;9,5;33,75;0;936,3;0
12;24/05/2024;18,475;57,25;21,675;786;18,475;9,7825;13,7253338;3,5;7,75;123,75;0;936,15;0
13;24/05/2024;20,525;43,75;24,4975;842,25;20,525;7,6725;13,68628516;3,5;8,75;168,75;0;935,825;0
14;24/05/2024;21,6;41,25;26,1075;840;21,6;7,8175;14,18566742;4,25;9;146,25;0;935,45;0
15;24/05/2024;22,675;34;27,825;793,5;22,675;5,925;13,90812906;3,75;9,25;101,25;0;934,975;0
16;24/05/2024;23,525;35,25;29,2375;702;23,525;7,24;14,74317289;4,5;11,25;191,25;0;934,625;0
17;24/05/2024;24,025;36,25;30,0925;531;24,025;8,0975;15,27821019;4,25;10;191,25;0;934,35;0
18;24/05/2024;24,475;35;30,8925;313,5;24,475;7,9825;15,40860048;3,75;9;202,5;0;934,175;0
19;24/05/2024;24,1;34,25;30,22;261;24,1;7,34;15,01078996;2,25;5,25;225;0;934,1;0
20;24/05/2024;22,8;35;28,025;67,5;22,8;6,49;14,16125731;1,5;4,75;78,75;0;934,3;0
21;24/05/2024;19,075;46,25;22,5275;7,5;19,075;7,1125;12,82494971;0;0,25;101,25;0;934,525;0
22;24/05/2024;15,225;62,75;17,7775;0;15,225;8,0925;11,53346288;0,75;2,5;33,75;0;935,05;0
23;24/05/2024;13,3;70,75;15,7625;0;13,3;8,045;10,62486918;0,25;1,25;123,75;0;935,575;0
0;25/05/2024;11,55;79,25;14,1275;0;11,55;8,035;9,782073212;0,25;1;213,75;0;935,6;0
1;25/05/2024;10,3;84,25;13,0375;0;10,3;7,7275;9,028946836;0;0;67,5;0;935,525;0
2;25/05/2024;9,725;85,25;12,57;0;9,725;7,34;8,562569261;0,25;1,5;0;0;935,35;0
3;25/05/2024;9,175;87;12,1375;0;9,175;7,1;8,172296443;0,25;1,5;0;0,25;935,15;0
4;25/05/2024;7,9;91;11,17;0;7,9;6,505;7,242373658;0,5;2;67,5;6;935,075;0
5;25/05/2024;7;92,5;10,535;0;7;5,85;6,47212032;0;0,5;56,25;9;934,9;0
6;25/05/2024;6,45;93;10,16;0;6,45;5,3875;5,968639054;0;1,5;56,25;9,75;935;0
7;25/05/2024;7,1;92,5;10,61;51;7,1;5,9475;6,566398781;0,25;1;22,5;14,5;935,15;0
8;25/05/2024;10,8;80;13,4825;216,75;10,8;7,445;9,140348515;0,5;2,25;78,75;2,25;935,275;0
9;25/05/2024;13,35;72,25;15,825;325,5;13,35;8,3975;10,80617712;2;4,5;135;0;935,425;0
10;25/05/2024;15,95;64;18,5925;453,75;15,95;9,09;12,30884646;5,5;10;196,875;0;935,325;0
11;25/05/2024;17,625;61;20,58;528,75;17,625;9,9625;13,44518962;7;12,25;191,25;0;935,625;0
12;25/05/2024;19,95;57,25;23,705;774;19,95;11,145;14,96994414;8,5;15,25;236,25;0;935,7;0
13;25/05/2024;22,125;40,5;26,9325;721,5;22,125;7,9725;14,47209915;9,25;17,5;191,25;0;935,475;0
14;25/05/2024;23,975;30;30;837;23,975;5,2725;14,22361237;7;14,25;180;0;935,175;0
15;25/05/2024;24,95;24;31,75;771;24,95;2,9775;13,87152257;7,25;18;196,875;0;934,9;0
16;25/05/2024;25,675;23,75;33,0975;546;25,675;3,4525;14,31461099;7;18,25;213,75;0;934,625;0
17;25/05/2024;25,55;25;32,86;433,5;25,55;4,055;14,45411511;7,75;16,25;236,25;0;934,375;0
18;25/05/2024;25,35;27,5;32,4825;384;25,35;5,2475;14,76495851;8,5;18,5;202,5;0;934,375;0
19;25/05/2024;24,65;29,25;31,2025;237;24,65;5,5225;14,57359374;7,5;16;191,25;0;934,375;0
20;25/05/2024;23,55;33,5;29,275;72;23,55;6,52;14,4826998;5,75;12,25;213,75;0;934,5;0
21;25/05/2024;21,4;39,5;25,8175;12,75;21,4;6,985;13,76899439;4,5;9;213,75;0;934,85;0
22;25/05/2024;17,95;50,25;21,015;0;17,95;7,36;12,43800097;1,25;3,5;157,5;0;935,525;0
23;25/05/2024;15,975;58;18,6225;0;15,975;7,645;11,67780461;2;3,75;202,5;0;936,125;0
0;26/05/2024;13,3;70,25;15,7675;0;13,3;7,9375;10,57431113;1,5;3,75;146,25;0;936,15;0
1;26/05/2024;13,85;71,5;16,3125;0;13,85;8,735;11,19791998;2,25;4,5;157,5;0;936,325;0
2;26/05/2024;12,3;79,5;14,805;0;12,3;8,8175;10,51151992;0,75;2,75;112,5;0;936,3;0
3;26/05/2024;11,175;84,75;13,7925;0;11,175;8,675;9,90510666;0,5;2,25;146,25;0;936,225;0
4;26/05/2024;9,725;89,5;12,575;0;9,725;8,06;8,900244782;0,25;1,75;174,375;3,25;936,1;0
5;26/05/2024;8,75;92;11,8025;0;8,75;7,5075;8,147159006;0,25;1;33,75;9,75;936,05;0
6;26/05/2024;8,275;93;11,4475;0,75;8,275;7,195;7,757844915;0,25;2,25;67,5;11,25;936,3;0
7;26/05/2024;9,3;90,5;12,2575;66,75;9,3;7,79;8,554563425;0;1;45;11,5;936,775;0
8;26/05/2024;13,15;80,25;15,635;249,75;13,15;9,785;11,37422612;1,75;4,5;146,25;0;937,2;0
9;26/05/2024;14,85;79;17,37;345,75;14,85;11,21;12,85281045;5,5;11;213,75;0;937,575;0
10;26/05/2024;16,8;77;19,5725;528,75;16,8;12,715;14,4681192;6,25;11,5;191,25;0;937,55;0
11;26/05/2024;18,325;73,25;21,4775;672;18,325;13,41;15,4590867;6;10,75;225;0;937,5;0
12;26/05/2024;20,075;66,25;23,8475;639;20,075;13,5425;16,22125532;6;11,25;191,25;0;937,4;0
13;26/05/2024;20,95;60;25,1175;511,5;20,95;12,855;16,20849811;7;13,25;191,25;0;937,2;0
14;26/05/2024;21,95;54,75;26,67;759;21,95;12,3575;16,34860737;7;14;191,25;0;936,775;0
15;26/05/2024;23,525;46,75;29,225;351;23,525;11,44;16,51826429;3,5;10,5;135;0;936,4;0
16;26/05/2024;23,5;44,75;29,2;441;23,5;10,745;16,19225803;4,25;10,25;213,75;0;936,025;0
17;26/05/2024;24,675;42,25;31,2475;345;24,675;10,9675;16,73678199;3;7,5;202,5;0;935,65;0
18;26/05/2024;24,275;40;30,545;390,75;24,275;9,7875;16,07426829;5;10,75;135;0;935,5;0
19;26/05/2024;23,8;39;29,7025;237;23,8;8,985;15,54722482;3,75;9,25;180;0;935,375;0
20;26/05/2024;23,05;40,75;28,4375;66;23,05;8,95;15,23714415;2,75;6,5;202,5;0;935,6;0
21;26/05/2024;19,85;51;23,585;6,75;19,85;9,345;14,10091361;0,5;2,5;168,75;0;935,85;0
22;26/05/2024;16,3;72,75;19,0025;0;16,3;11,3375;13,54439107;9,75;16;22,5;0;936,925;0
23;26/05/2024;13,1;82;15,57;0;13,1;10,06;11,48991141;10,75;16,25;101,25;0;937,925;0
0;27/05/2024;11,9;87;14,4325;0;11,9;9,78;10,79504446;6,75;11;22,5;0;938;0
1;27/05/2024;11,05;88;13,6775;0;11,05;9,1175;10,06151449;7;10,75;33,75;0;938,125;0
2;27/05/2024;10,4;89,5;13,1225;0;10,4;8,725;9,556994126;7,75;11,5;33,75;0;938,075;0
3;27/05/2024;9,7;91,5;12,55;0;9,7;8,365;9,036126585;4,75;7,75;22,5;6;937,725;0
4;27/05/2024;8,8;93,25;11,8425;0;8,8;7,7575;8,291515208;2,5;4,5;33,75;13,75;937,575;0
5;27/05/2024;8,525;94;11,6325;0;8,525;7,605;8,078318258;2;3,5;16,875;12;937,85;0
6;27/05/2024;8,375;93,25;11,52;0,75;8,375;7,335;7,875104031;2,75;4,5;39,375;12;938,125;0
7;27/05/2024;8,85;91;11,8825;58,5;8,85;7,4425;8,167064667;2,75;5;33,75;13,5;938,6;0
8;27/05/2024;10,875;84;13,5325;230,25;10,875;8,245;9,556019768;5,75;9;45;0;938,925;0
9;27/05/2024;12,825;77;15,3075;345,75;12,825;8,85;10,7757778;7,5;12,25;16,875;0;939,275;0
10;27/05/2024;14,9;70;17,42;567;14,9;9,425;12,00375053;10;15;11,25;0;939,525;0
11;27/05/2024;16,8;64,75;19,58;648;16,8;10,07;13,14542459;8,75;14,75;22,5;0;939,4;0
12;27/05/2024;18,4;60;21,5625;761,25;18,4;10,445;14,00761999;9,5;16;22,5;0;939,2;0
13;27/05/2024;19,425;56;22,935;810,75;19,425;10,37;14,39859227;8,75;14,5;101,25;0;939,1;0
14;27/05/2024;20,5;52,25;24,4625;751,5;20,5;10,3225;14,81681864;8,25;15,75;11,25;0;938,725;0
15;27/05/2024;21,275;49,75;25,6075;753;21,275;10,3125;15,12666481;8;13,75;11,25;0;938,525;0
16;27/05/2024;22,25;46,25;27,12;636;22,25;10,115;15,42727014;8,5;16;67,5;0;938,125;0
17;27/05/2024;22,725;43,5;27,8875;533,25;22,725;9,6325;15,40532283;8;15,5;56,25;0;937,725;0
18;27/05/2024;22,575;44,25;27,6425;412,5;22,575;9,7525;15,39681156;8,25;13,5;33,75;0;937,8;0
19;27/05/2024;21,775;46,25;26,3775;237,75;21,775;9,6775;15,04475565;8;13,5;33,75;0;937,925;0
20;27/05/2024;20,425;50,5;24,3525;70,5;20,425;9,735;14,52242936;8,25;13;33,75;0;938,35;0
21;27/05/2024;18,075;58;21,165;10,5;18,075;9,61;13,47906474;7,25;12;45;0;938,825;0
22;27/05/2024;15,2;67,5;17,7475;0;15,2;9,1625;12,01377291;4,5;7,5;28,125;0;939,6;0
23;27/05/2024;13,95;73,5;16,4125;0;13,95;9,2475;11,48873475;6,75;10,25;22,5;0;940,325;0
0;28/05/2024;12,65;78,5;15,1375;0;12,65;8,9675;10,75081965;7,75;13;22,5;0;940,45;0
1;28/05/2024;11,25;83,75;13,8525;0;11,25;8,5725;9,896431312;5,75;9;22,5;0;940,525;0
2;28/05/2024;10,475;86;13,1875;0;10,475;8,2075;9,344147542;7,5;10,75;0;0;940,25;0
3;28/05/2024;9,625;88,5;12,49;0;9,625;7,7975;8,726939784;5,25;8,75;22,5;0;939,8;0
4;28/05/2024;9;89,75;11,995;0;9;7,3875;8,21972637;5,5;9,25;22,5;0;939,625;0
5;28/05/2024;8,425;90,75;11,5575;0;8,425;6,9825;7,736971337;5;8;22,5;0;939,625;0
6;28/05/2024;7,95;91,25;11,2075;0,75;7,95;6,5925;7,311679958;5,5;8,25;33,75;0;939,7;0
7;28/05/2024;8,375;88,75;11,5275;68,25;8,375;6,6025;7,535109145;5,25;7,5;16,875;0;940,05;0
8;28/05/2024;10,625;79;13,3225;242,25;10,625;7,0775;8,89465017;7,25;10,75;33,75;0;940,325;0
9;28/05/2024;13,025;70;15,505;413,25;13,025;7,6125;10,30336683;8;12;33,75;0;940,425;0
10;28/05/2024;15,675;57,75;18,2975;567;15,675;7,275;11,39274734;7,25;11;16,875;0;940,3;0
11;28/05/2024;18,825;52,25;22,15;693,75;18,825;8,7675;13,42458552;7,75;12;39,375;0;939,95;0
12;28/05/2024;21,275;48;25,6125;784,5;21,275;9,77;14,88860235;4,75;10,75;45;0;939,775;0
13;28/05/2024;23,075;45,75;28,4825;834;23,075;10,6975;16,01350352;5,25;10,75;33,75;0;939,25;0
14;28/05/2024;24,725;38,5;31,34;829,5;24,725;9,59;16,17701544;4,5;9,5;33,75;0;938,575;0
15;28/05/2024;26,2;32;34,11;792;26,2;8,1675;16,17570939;4,5;10,5;67,5;0;938,175;0
16;28/05/2024;26,65907907;29,5;36,115;690,75;27,2;7,87;16,44145198;4;7,5;90;0;937,7;0
17;28/05/2024;27,02514985;29,5;37,63;307,5;27,925;8,51;16,95324108;3,75;7,5;146,25;0;937,15;0
18;28/05/2024;26,92956632;31;37,15;359,25;27,7;9,0425;17,07399032;3,75;8,5;90;0;936,825;0
19;28/05/2024;26,81046125;31,25;36,7475;257,25;27,5;8,99;16,97417508;4,75;9,75;11,25;0;936,7;0
20;28/05/2024;26,05;34;33,8375;57,75;26,05;8,9225;16,40497461;5,25;8,5;101,25;0;936,975;0
21;28/05/2024;23,025;46,25;28,4525;9,75;23,025;10,74;16,00830724;1,5;3;45;0;937,175;0
22;28/05/2024;19,075;56,75;22,475;0;19,075;10,2375;14,18763802;1,25;3,25;11,25;0;937,6;0
23;28/05/2024;16,25;67,75;18,935;0;16,25;10,2175;12,97750702;0,75;3;112,5;0;938,1;0
0;29/05/2024;16,35;68,75;19,04;0;16,35;10,54;13,1793303;4;7,25;11,25;0;938,55;0
1;29/05/2024;14,7;76,75;17,2075;0;14,7;10,6175;12,49047033;1,5;2,75;45;0;938,725;0
2;29/05/2024;13,675;80,5;16,14;0;13,675;10,3425;11,89386798;2;3,75;22,5;0;938,475;0
3;29/05/2024;12,925;83,75;15,3975;0;12,925;10,2125;11,48689908;2;4,75;11,25;0;938,25;0
4;29/05/2024;12,075;86;14,595;0;12,075;9,7775;10,87638042;2;4;0;0;938,1;0
5;29/05/2024;11,125;88,75;13,7425;0;11,125;9,3175;10,19667466;0,5;2,25;101,25;2;937,95;0
6;29/05/2024;10,25;90;13;0;10,25;8,6625;9,451419434;0,75;1,75;11,25;12,25;938,025;0
7;29/05/2024;10,525;89;13,245;51,75;10,525;8,7575;9,628104311;0,75;2,5;56,25;9,5;938,225;0
8;29/05/2024;13,6;78,5;16,0725;240;13,6;9,89;11,63470965;5;8,75;28,125;0;938,325;0
9;29/05/2024;16,55;68,5;19,2925;411;16,55;10,6725;13,32677907;6,5;10,5;45;0;938,375;0
10;29/05/2024;19,325;61,75;22,8325;557,25;19,325;11,7475;15,01056885;3,25;7,25;56,25;0;938,25;0
11;29/05/2024;22,8;52,75;28,045;684,75;22,8;12,61;16,79652654;2,25;5;78,75;0;937,95;0
12;29/05/2024;25,15;45,25;32,1325;788,25;25,15;12,4325;17,59031525;2,75;6;191,25;0;937,65;0
13;29/05/2024;26,65;40,25;35;804;26,65;12,0225;17,94645942;4,75;9,25;180;0;937,15;0
14;29/05/2024;27,58355835;38;37,9025;822;28,05;12,4125;18,62083201;4;9,25;135;0;936,525;0
15;29/05/2024;28,81543947;36,5;41,14;762,75;29,5;13,1;19,43287086;3,5;8,75;163,125;0;935,9;0
16;29/05/2024;29,03454487;32;42,585;537;30,125;11,6125;18,99951091;4,5;11;157,5;0;935,25;0
17;29/05/2024;29,69564918;27,75;45,085;564,75;31,15;10,415;18,84747478;3,5;8,5;163,125;0;934,9;0
18;29/05/2024;29,09137421;27,5;43,6075;417,75;30,55;9,755;18,3746825;3,5;9,5;11,25;0;934,525;0
19;29/05/2024;28,94293796;27,75;43,185;264,75;30,375;9,7325;18,30310753;2,25;5;191,25;0;934,25;0
20;29/05/2024;27,58038905;30,5;39,05;56,25;28,55;9,53;17,56113576;2,5;6,25;67,5;0;934,35;0
21;29/05/2024;24,8;42,25;31,53;9;24,8;11,015;16,80279066;0,25;1,75;0;0;934,6;0
22;29/05/2024;21;55,25;25,235;0;21;11,605;15,60578728;0,75;2,25;123,75;0;934,925;0
23;29/05/2024;19,875;60;23,5675;0;19,875;11,84;15,27706112;3,75;8;90;0;935,525;0
0;30/05/2024;18,8;68,5;22,1025;0;18,8;12,8275;15,34010567;5;7,5;33,75;0;935,675;0
1;30/05/2024;17,175;74,25;20,0225;0;17,175;12,5175;14,51850716;6;10;33,75;0;935,775;0
2;30/05/2024;16,075;78,25;18,72;0;16,075;12,255;13,92154654;6,25;9,5;22,5;0;935,775;0
3;30/05/2024;15,175;78,25;17,715;0;15,175;11,38;13,08192664;5,5;9;33,75;0;935,65;0
4;30/05/2024;14,475;80,5;16,96;0;14,475;11,1325;12,64759654;2,75;6,25;22,5;0;935,375;0
5;30/05/2024;13,925;81,5;16,39;0;13,925;10,78;12,22441751;4;6,75;45;0;935,05;0
6;30/05/2024;13,175;83,5;15,6375;0,75;13,175;10,4125;11,69987071;3;4,75;0;0;934,85;0
7;30/05/2024;13,475;82,75;15,9575;60;13,475;10,555;11,90302715;1,75;3,5;11,25;0;934,85;0
8;30/05/2024;16,5;71,5;19,2225;236,25;16,5;11,285;13,60160948;5,75;9,5;33,75;0;935,025;0
9;30/05/2024;18,675;66,75;21,9375;400,5;18,675;12,3275;15,0331714;8;12,25;16,875;0;935,125;0
10;30/05/2024;20,975;63;25,1625;552,75;20,975;13,6275;16,60800586;9;13,5;11,25;0;935,05;0
11;30/05/2024;23,025;58;28,39;678,75;23,025;14,2825;17,71787085;8,25;13,5;61,875;0;934,85;0
12;30/05/2024;24,625;53,5;31,1575;768,75;24,625;14,53;18,42504963;5,75;12,5;118,125;0;934,6;0
13;30/05/2024;25,425;51;32,63;809,25;25,425;14,535;18,70954685;5,25;12;106,875;0;934,125;0
14;30/05/2024;26,3;50,75;34,31;693;26,3;15,27;19,39037579;5,25;10,75;22,5;0;933,45;0
15;30/05/2024;26,75;50,75;35,2;483;26,75;15,6875;19,76179725;6,25;13,25;45;0;932,95;0
16;30/05/2024;26,910883;49,75;35,3525;331,5;26,825;15,4475;19,6588124;9;14,75;11,25;0;932,575;0
