hour;date;Contenido volumetrico (10 cm);Contenido volumetrico (20 cm);Contenido volumetrico (40 cm);Contenido volumetrico (60 cm);Agua util;Temperatura en suelo (10 cm);Temperatura en suelo (20 cm);Temperatura en suelo (40 cm);Temperatura en suelo (60 cm)
13;30/05/2024;13,325;21;29,85;32,2;51,6542319;26,825;22,425;20,6;18,8
14;30/05/2024;13,3;21;29,8;32,2;51,5792319;27,025;22,95;20,65;18,8
15;30/05/2024;13,25;21;29,8;32,2;51,5792319;26,775;23,325;20,725;18,8
16;30/05/2024;13,2;21;29,8;32,2;51,5792319;26,6;23,55;20,8;18,8
17;30/05/2024;13,2;21;29,8;32,2;51,5792319;26,775;23,675;20,9;18,8
18;30/05/2024;13,2;21;29,8;32,2;51,5792319;27,625;23,875;20,95;18,8
19;30/05/2024;13,175;21;29,8;32,2;51,5792319;27,6;24,2;21,1;18,8
20;30/05/2024;13,075;21;29,8;32,175;51,5292319;26,5;24,3;21,175;18,8
21;30/05/2024;13;21;29,8;32,2;51,5792319;25,325;24,175;21,3;18,875
22;30/05/2024;12,9;21;29,8;32,2;51,5792319;24,25;23,875;21,4;18,9
23;30/05/2024;12,825;20,975;29,825;32,2;51,6167319;23,375;23,55;21,45;18,9
0;31/05/2024;12,8;20,925;29,9;32,2;51,7292319;22,575;23,2;21,525;18,9
1;31/05/2024;12,725;20,9;29,9;32,2;51,7292319;21,85;22,775;21,6;19
2;31/05/2024;12,7;20,9;29,875;32,2;51,6917319;21,175;22,425;21,6;19,05
3;31/05/2024;12,6;20,85;29,875;32,2;51,6917319;20,525;22;21,55;19,1
4;31/05/2024;12,6;20,8;29,8;32,2;51,5792319;19,975;21,6;21,475;19,1
5;31/05/2024;12,575;20,8;29,8;32,2;51,5792319;19,45;21,25;21,4;19,1
6;31/05/2024;12,525;20,8;29,8;32,2;51,5792319;18,95;20,85;21,35;19,2
7;31/05/2024;12,5;20,725;29,8;32,2;51,5792319;18,6;20,475;21,25;19,2
8;31/05/2024;12,5;20,7;29,8;32,2;51,5792319;18,4;20,175;21,125;19,2
9;31/05/2024;12,525;20,7;29,8;32,2;51,5792319;18,575;19,9;21;19,275
10;31/05/2024;12,6;20,7;29,8;32,2;51,5792319;19,475;19,8;20,875;19,3
11;31/05/2024;12,675;20,7;29,8;32,2;51,5792319;20,55;19,925;20,775;19,3
12;31/05/2024;12,75;20,7;29,8;32,175;51,5292319;21,9;20,25;20,625;19,2
13;31/05/2024;12,8;20,75;29,725;32,1;51,2667319;23,225;20,625;20,575;19,2
14;31/05/2024;12,8;20,775;29,7;32,1;51,2292319;23,375;21,075;20,5;19,2
15;31/05/2024;12,775;20,8;29,7;32,1;51,2292319;23,25;21,325;20,4;19,175
16;31/05/2024;12,7;20,775;29,7;32,1;51,2292319;23,2;21,425;20,4;19,1
17;31/05/2024;12,775;20,75;29,7;32,1;51,2292319;23,575;21,55;20,475;19,1
18;31/05/2024;12,8;20,8;29,7;32,1;51,2292319;24,3;21,725;20,5;19,1
19;31/05/2024;12,8;20,8;29,7;32,1;51,2292319;24,6;21,975;20,525;19,1
20;31/05/2024;12,7;20,8;29,7;32,1;51,2292319;24,1;22,15;20,6;19,1
21;31/05/2024;12,6;20,8;29,7;32,1;51,2292319;22,975;22,125;20,6;19,1
22;31/05/2024;12,55;20,8;29,7;32,1;51,2292319;21,95;21,9;20,625;19,1
23;31/05/2024;12,5;20,775;29,7;32,1;51,2292319;21,125;21,65;20,7;19,1
0;01/06/2024;12,45;20,725;29,7;32,1;51,2292319;20,45;21,325;20,75;19,1
1;01/06/2024;12,4;20,7;29,7;32,1;51,2292319;19,85;21;20,8;19,1
2;01/06/2024;12,4;20,7;29,7;32,1;51,2292319;19,3;20,675;20,7;19,1
3;01/06/2024;12,35;20,675;29,7;32,1;51,2292319;18,8;20,325;20,675;19,1
4;01/06/2024;12,3;20,65;29,7;32,1;51,2292319;18,35;20,025;20,6;19,1
5;01/06/2024;12,3;20,6;29,7;32,1;51,2292319;17,95;19,725;20,575;19,1
6;01/06/2024;12,3;20,6;29,7;32,1;51,2292319;17,625;19,4;20,45;19,1
7;01/06/2024;12,3;20,6;29,7;32,1;51,2292319;17,35;19,125;20,375;19,1
8;01/06/2024;12,3;20,575;29,7;32,1;51,2292319;17,15;18,85;20,3;19,1
9;01/06/2024;12,3;20,525;29,7;32,1;51,2292319;17,525;18,65;20,15;19,1
10;01/06/2024;12,375;20,55;29,65;32,1;51,1542319;18,475;18,625;20,05;19,1
11;01/06/2024;12,45;20,575;29,625;32,1;51,1167319;19,725;18,85;19,9;19,05
12;01/06/2024;12,55;20,6;29,6;32,1;51,0792319;21,125;19,2;19,825;19
13;01/06/2024;12,625;20,6;29,6;32,1;51,0792319;22,45;19,7;19,8;18,975
14;01/06/2024;12,6;20,625;29,6;32,1;51,0792319;22,675;20,15;19,7;18,9
15;01/06/2024;12,6;20,675;29,6;32,1;51,0792319;22,5;20,4;19,7;18,9
16;01/06/2024;12,525;20,7;29,6;32,075;51,0292319;22,5;20,575;19,75;18,9
17;01/06/2024;12,6;20,7;29,6;32;50,8792319;22,85;20,75;19,8;18,9
18;01/06/2024;12,6;20,7;29,6;32;50,8792319;23,525;20,9;19,8;18,8
19;01/06/2024;12,6;20,7;29,6;32;50,8792319;23,8;21,175;19,825;18,8
20;01/06/2024;12,525;20,7;29,6;32;50,8792319;23,25;21,35;19,9;18,8
21;01/06/2024;12,425;20,7;29,6;32;50,8792319;22,25;21,35;19,925;18,8
22;01/06/2024;12,4;20,7;29,6;32;50,8792319;21,3;21,175;20,025;18,8
23;01/06/2024;12,3;20,7;29,6;32;50,8792319;20,575;20,9;20,1;18,8
0;02/06/2024;12,3;20,65;29,6;32;50,8792319;19,975;20,675;20,1;18,8
1;02/06/2024;12,25;20,6;29,6;32;50,8792319;19,45;20,35;20,1;18,8
2;02/06/2024;12,2;20,6;29,6;32;50,8792319;18,95;20,075;20,1;18,8
3;02/06/2024;12,2;20,6;29,6;32;50,8792319;18,55;19,8;20,1;18,8
4;02/06/2024;12,2;20,6;29,6;32;50,8792319;18,225;19,525;20,1;18,8
5;02/06/2024;12,175;20,525;29,6;32;50,8792319;17,85;19,3;20;18,8
6;02/06/2024;12,125;20,5;29,6;32;50,8792319;17,5;19,025;19,9;18,8
7;02/06/2024;12,1;20,5;29,6;32;50,8792319;17,225;18,8;19,875;18,8
8;02/06/2024;12,1;20,5;29,6;32;50,8792319;17,125;18,525;19,8;18,8
9;02/06/2024;12,175;20,5;29,6;32;50,8792319;17,55;18,375;19,7;18,8
10;02/06/2024;12,25;20,5;29,6;32;50,8792319;18,675;18,375;19,6;18,8
11;02/06/2024;12,35;20,5;29,575;32;50,8417319;20,025;18,65;19,475;18,8
12;02/06/2024;12,45;20,55;29,5;32;50,7292319;21,725;19,075;19,4;18,8
13;02/06/2024;12,575;20,6;29,5;32;50,7292319;23,275;19,675;19,4;18,75
14;02/06/2024;12,55;20,6;29,5;32;50,7292319;23,525;20,25;19,4;18,7
15;02/06/2024;12,5;20,6;29,5;32;50,7292319;23,325;20,6;19,4;18,675
16;02/06/2024;12,5;20,6;29,5;32;50,7292319;23,275;20,825;19,4;18,6
17;02/06/2024;12,5;20,625;29,5;32;50,7292319;23,65;20,975;19,525;18,6
18;02/06/2024;12,5;20,675;29,5;31,975;50,6792319;24,375;21,225;19,6;18,6
19;02/06/2024;12,5;20,7;29,5;31,95;50,6292319;24,775;21,525;19,65;18,6
20;02/06/2024;12,475;20,7;29,5;31,9;50,5292319;24,275;21,775;19,775;18,6
21;02/06/2024;12,375;20,7;29,5;31,9;50,5292319;23,225;21,8;19,825;18,6
22;02/06/2024;12,3;20,7;29,5;31,9;50,5292319;22,225;21,675;19,9;18,6
23;02/06/2024;12,25;20,675;29,5;31,9;50,5292319;21,425;21,4;20,025;18,6
0;03/06/2024;12,2;20,6;29,5;31,9;50,5292319;20,825;21,175;20,1;18,6
1;03/06/2024;12,2;20,6;29,5;31,9;50,5292319;20,25;20,875;20,1;18,6
2;03/06/2024;12,1;20,6;29,5;31,9;50,5292319;19,825;20,6;20,1;18,6
3;03/06/2024;12,1;20,6;29,5;31,9;50,5292319;19,35;20,35;20,1;18,65
4;03/06/2024;12,1;20,6;29,5;31,9;50,5292319;18,95;20,05;20,1;18,7
5;03/06/2024;12,1;20,525;29,5;31,9;50,5292319;18,625;19,8;20,1;18,7
6;03/06/2024;12,075;20,5;29,5;31,9;50,5292319;18,3;19,525;20,1;18,725
7;03/06/2024;12,1;20,5;29,5;31,925;50,5792319;18,025;19,3;20;18,8
8;03/06/2024;12,05;20,5;29,5;31,975;50,6792319;17,9;19,075;19,9;18,8
9;03/06/2024;12,1;20,5;29,5;31,975;50,6792319;18,325;18,9;19,85;18,8
10;03/06/2024;12,175;20,5;29,5;31,95;50,6292319;19,475;18,925;19,8;18,8
11;03/06/2024;12,25;20,5;29,5;31,925;50,5792319;20,8;19,25;19,7;18,8
12;03/06/2024;12,375;20,5;29,5;31,925;50,5792319;22,4;19,65;19,6;18,8
13;03/06/2024;12,475;20,525;29,5;31,9;50,5292319;23,975;20,225;19,6;18,725
14;03/06/2024;12,5;20,6;29,5;31,9;50,5292319;24,35;20,825;19,6;18,7
15;03/06/2024;12,5;20,6;29,475;31,9;50,4917319;24,325;21,225;19,6;18,7
16;03/06/2024;12,4;20,6;29,475;31,9;50,4917319;24,425;21,475;19,725;18,7
17;03/06/2024;12,475;20,6;29,475;31,9;50,4917319;24,95;21,675;19,8;18,7
18;03/06/2024;12,5;20,6;29,5;31,9;50,5292319;26;22,025;19,875;18,625
19;03/06/2024;12,5;20,625;29,425;31,9;50,4167319;26,55;22,45;19,95;18,625
20;03/06/2024;12,45;20,7;29,425;31,9;50,4167319;26,05;22,775;20,075;18,65
21;03/06/2024;12,35;20,7;29,475;31,9;50,4917319;24,975;22,9;20,2;18,7
22;03/06/2024;12,275;20,675;29,5;31,9;50,5292319;23,925;22,775;20,325;18,7
23;03/06/2024;12,2;20,625;29,5;31,9;50,5292319;23;22,525;20,425;18,7
0;04/06/2024;12,175;20,6;29,5;31,9;50,5292319;22,225;22,3;20,55;18,75
1;04/06/2024;12,1;20,6;29,5;31,9;50,5292319;21,625;21,975;20,6;18,8
2;04/06/2024;12,1;20,6;29,5;31,9;50,5292319;21,075;21,7;20,675;18,8
3;04/06/2024;12,075;20,5;29,5;31,9;50,5292319;20,6;21,4;20,7;18,8
4;04/06/2024;12;20,5;29,5;31,9;50,5292319;20,175;21,1;20,7;18,85
5;04/06/2024;12;20,5;29,5;31,9;50,5292319;19,775;20,85;20,7;18,9
6;04/06/2024;12;20,5;29,5;31,9;50,5292319;19,425;20,525;20,625;18,9
7;04/06/2024;12;20,425;29,5;31,9;50,5292319;19,025;20,3;20,6;18,9
8;04/06/2024;12;20,4;29,5;31,9;50,5292319;18,85;20,025;20,55;18,925
9;04/06/2024;12,025;20,4;29,5;31,9;50,5292319;19,25;19,85;20,425;19
10;04/06/2024;12,125;20,4;29,5;31,9;50,5292319;20,55;19,85;20,4;19
11;04/06/2024;12,25;20,4;29,5;31,9;50,5292319;22,025;20,15;20,3;19
12;04/06/2024;12,375;20,5;29,5;31,9;50,5292319;23,85;20,65;20,3;19
13;04/06/2024;12,475;20,5;29,45;31,9;50,4542319;25,575;21,3;20,2;19
14;04/06/2024;12,475;20,525;29,4;31,9;50,3792319;25,95;21,95;20,225;19
15;04/06/2024;12,4;20,525;29,4;31,825;50,2292319;25,85;22,35;20,3;19
16;04/06/2024;12,4;20,55;29,4;31,8;50,1792319;25,875;22,65;20,35;19
17;04/06/2024;12,4;20,5;29,4;31,8;50,1792319;26,275;22,85;20,425;19
18;04/06/2024;12,45;20,5;29,4;31,8;50,1792319;26,85;23,125;20,575;19
19;04/06/2024;12,475;20,525;29,4;31,8;50,1792319;27,35;23,45;20,65;19
20;04/06/2024;12,4;20,6;29,4;31,8;50,1792319;27,1;23,725;20,8;19
21;04/06/2024;12,3;20,6;29,4;31,8;50,1792319;26,25;23,875;20,9;19
22;04/06/2024;12,225;20,6;29,4;31,8;50,1792319;25,3;23,825;21,05;19,1
23;04/06/2024;12,2;20,6;29,425;31,8;50,2167319;24,425;23,675;21,125;19,1
0;05/06/2024;12,15;20,5;29,475;31,8;50,2917319;23,725;23,4;21,275;19,1
1;05/06/2024;12,1;20,5;29,5;31,8;50,3292319;23,125;23,175;21,35;19,1
2;05/06/2024;12,1;20,5;29,5;31,8;50,3292319;22,7;22,9;21,4;19,2
3;05/06/2024;12,05;20,5;29,5;31,8;50,3292319;22,2;22,6;21,4;19,25
4;05/06/2024;12;20,475;29,5;31,8;50,3292319;21,75;22,35;21,4;19,3
5;05/06/2024;12;20,4;29,5;31,8;50,3292319;21,35;22,1;21,4;19,3
6;05/06/2024;12;20,4;29,5;31,8;50,3292319;20,925;21,825;21,4;19,35
7;05/06/2024;12;20,4;29,5;31,8;50,3292319;20,55;21,525;21,4;19,4
8;05/06/2024;12;20,4;29,5;31,85;50,4292319;20,4;21,3;21,35;19,4
9;05/06/2024;12,025;20,375;29,5;31,9;50,5292319;20,85;21,125;21,3;19,4
10;05/06/2024;12,125;20,4;29,45;31,9;50,4542319;22,1;21,175;21,25;19,4
11;05/06/2024;12,225;20,4;29,4;31,85;50,2792319;23,5;21,45;21,125;19,475
12;05/06/2024;12,35;20,4;29,4;31,825;50,2292319;24,925;21,875;21,1;19,5
13;05/06/2024;12,45;20,4;29,4;31,8;50,1792319;26,675;22,475;21,1;19,5
14;05/06/2024;12,425;20,475;29,4;31,8;50,1792319;27,075;23,075;21,1;19,5
15;05/06/2024;12,4;20,5;29,4;31,8;50,1792319;26,975;23,475;21,125;19,5
16;05/06/2024;12,4;20,5;29,4;31,8;50,1792319;27,05;23,725;21,25;19,5
17;05/06/2024;12,4;20,45;29,4;31,8;50,1792319;27,4;23,975;21,325;19,5
18;05/06/2024;12,4;20,475;29,4;31,8;50,1792319;28,175;24,25;21,4;19,5
19;05/06/2024;12,4;20,5;29,4;31,8;50,1792319;28,525;24,575;21,55;19,5
20;05/06/2024;12,375;20,5;29,4;31,75;50,0792319;28,075;24,85;21,625;19,575
21;05/06/2024;12,3;20,5;29,4;31,7;49,9792319;27,275;24,9;21,775;19,6
22;05/06/2024;12,2;20,5;29,4;31,7;49,9792319;26,4;24,875;21,875;19,6
23;05/06/2024;12,125;20,5;29,4;31,7;49,9792319;25,525;24,675;22;19,6
0;06/06/2024;12,1;20,45;29,4;31,775;50,1292319;24,85;24,45;22,1;19,65
1;06/06/2024;12,075;20,4;29,4;31,8;50,1792319;24,325;24,2;22,2;19,7
2;06/06/2024;12,05;20,4;29,4;31,8;50,1792319;23,75;23,9;22,3;19,8
3;06/06/2024;12;20,4;29,4;31,8;50,1792319;23,275;23,675;22,3;19,8
4;06/06/2024;12;20,4;29,4;31,8;50,1792319;22,85;23,375;22,3;19,825
5;06/06/2024;12;20,325;29,4;31,8;50,1792319;22,425;23,1;22,3;19,9
6;06/06/2024;11,975;20,3;29,4;31,8;50,1792319;22;22,85;22,3;19,9
7;06/06/2024;11,9;20,3;29,4;31,8;50,1792319;21,675;22,525;22,25;19,9
8;06/06/2024;11,9;20,3;29,4;31,8;50,1792319;21,5;22,3;22,175;20
9;06/06/2024;12;20,3;29,4;31,8;50,1792319;21,925;22,125;22,1;20
10;06/06/2024;12,075;20,3;29,4;31,8;50,1792319;23,2;22,175;22,05;20,05
11;06/06/2024;12,175;20,3;29,4;31,8;50,1792319;24,675;22,45;21,95;20,1
12;06/06/2024;12,325;20,3;29,4;31,8;50,1792319;26,5;22,975;21,9;20,1
13;06/06/2024;12,4;20,35;29,4;31,725;50,0292319;27,95;23,575;21,9;20,1
14;06/06/2024;12,375;20,4;29,35;31,7;49,9042319;28,025;24,175;21,9;20,1
15;06/06/2024;12,325;20,4;29,3;31,7;49,8292319;27,975;24,5;21,95;20,1
16;06/06/2024;12,3;20,4;29,3;31,7;49,8292319;28,1;24,75;22,075;20,1
17;06/06/2024;12,3;20,4;29,3;31,7;49,8292319;28,325;24,975;22,15;20,1
18;06/06/2024;12,3;20,4;29,3;31,7;49,8292319;28,5;25,2;22,275;20,1
19;06/06/2024;12,3;20,4;29,3;31,7;49,8292319;28,575;25,375;22,35;20,1
20;06/06/2024;12,3;20,4;29,3;31,7;49,8292319;28,475;25,55;22,45;20,1
21;06/06/2024;12,2;20,4;29,3;31,7;49,8292319;27,9;25,6;22,575;20,125
22;06/06/2024;12,175;20,4;29,3;31,7;49,8292319;27,1;25,6;22,675;20,2
23;06/06/2024;12,1;20,4;29,375;31,7;49,9417319;26,35;25,425;22,8;20,225
0;07/06/2024;12,1;20,4;29,325;31,7;49,8667319;25,825;25,225;22,875;20,3
1;07/06/2024;12,075;20,4;29,4;31,7;49,9792319;25,4;25,025;22,9;20,3
2;07/06/2024;12;20,35;29,4;31,7;49,9792319;25,025;24,825;22,975;20,325
3;07/06/2024;12;20,3;29,4;31,7;49,9792319;24,75;24,6;23;20,4
4;07/06/2024;12;20,3;29,4;31,7;49,9792319;24,35;24,4;23,05;20,4
5;07/06/2024;12;20,3;29,4;31,7;49,9792319;24;24,2;23;20,425
6;07/06/2024;12;20,3;29,4;31,7;49,9792319;23,725;23,975;23;20,5
7;07/06/2024;12;20,3;29,4;31,7;49,9792319;23,475;23,8;23;20,55
8;07/06/2024;11,975;20,225;29,4;31,7;49,9792319;23,3;23,6;22,925;20,6
9;07/06/2024;12;20,2;29,35;31,7;49,9042319;23,3;23,425;22,9;20,6
10;07/06/2024;12;20,2;29,3;31,7;49,8292319;23,7;23,325;22,875;20,6
11;07/06/2024;12,1;20,2;29,325;31,7;49,8667319;24,525;23,4;22,8;20,6
12;07/06/2024;12,175;20,25;29,3;31,7;49,8292319;25,75;23,625;22,8;20,6
13;07/06/2024;12,2;20,275;29,3;31,7;49,8292319;26,7;23,95;22,75;20,7
14;07/06/2024;12,2;20,3;29,3;31,7;49,8292319;27,225;24,325;22,7;20,7
15;07/06/2024;12,25;20,3;29,3;31,675;49,7792319;27,5;24,6;22,75;20,7
16;07/06/2024;12,275;20,275;29,3;31,6;49,6292319;27,8;24,875;22,8;20,7
17;07/06/2024;12,275;20,225;29,3;31,6;49,6292319;28,175;25,1;22,8;20,7
18;07/06/2024;12,2;20,3;29,275;31,6;49,5917319;28,125;25,35;22,875;20,7
19;07/06/2024;12,2;20,3;29,225;31,6;49,5167319;28,05;25,45;22,925;20,7
20;07/06/2024;12,2;20,3;29,25;31,6;49,5542319;27,825;25,6;23,025;20,725
21;07/06/2024;12,1;20,3;29,275;31,6;49,5917319;27,175;25,6;23,1;20,8
22;07/06/2024;12,1;20,3;29,3;31,6;49,6292319;26,575;25,5;23,175;20,8
23;07/06/2024;12,05;20,3;29,3;31,6;49,6292319;26,075;25,35;23,3;20,8
0;08/06/2024;12;20,25;29,3;31,6;49,6292319;25,575;25,2;23,3;20,8
1;08/06/2024;12;20,2;29,3;31,6;49,6292319;25,025;24,975;23,4;20,8
2;08/06/2024;11,9;20,2;29,3;31,6;49,6292319;24,45;24,725;23,4;20,9
3;08/06/2024;11,9;20,2;29,3;31,6;49,6292319;24,05;24,475;23,4;20,9
4;08/06/2024;11,9;20,2;29,3;31,6;49,6292319;23,65;24,225;23,4;20,9
5;08/06/2024;11,9;20,1;29,3;31,6;49,6292319;23,325;23,975;23,4;20,925
6;08/06/2024;11,9;20,1;29,3;31,6;49,6292319;23;23,725;23,325;21
7;08/06/2024;11,875;20,1;29,3;31,6;49,6292319;22,725;23,475;23,3;21
8;08/06/2024;11,9;20,1;29,3;31,6;49,6292319;22,6;23,3;23,25;21,075
9;08/06/2024;11,9;20,1;29,25;31,6;49,5542319;22,75;23,125;23,15;21,1
10;08/06/2024;11,925;20,1;29,225;31,6;49,5167319;23,425;23,1;23,1;21,1
11;08/06/2024;12;20,1;29,2;31,6;49,4792319;24,15;23,15;23,025;21,1
12;08/06/2024;12,075;20,1;29,2;31,6;49,4792319;25,4;23,375;22,9;21,1
13;08/06/2024;12,1;20,125;29,2;31,6;49,4792319;25,575;23,725;22,9;21,1
14;08/06/2024;12;20,1;29,2;31,6;49,4792319;25,05;23,9;22,9;21,1
15;08/06/2024;12;20,1;29,2;31,6;49,4792319;24,875;23,9;22,9;21,1
16;08/06/2024;12;20,1;29,2;31,6;49,4792319;24,875;23,9;22,9;21,1
17;08/06/2024;12;20,1;29,2;31,6;49,4792319;25,075;23,9;22,9;21,1
18;08/06/2024;12;20,1;29,2;31,6;49,4792319;24,85;23,9;22,9;21,1
19;08/06/2024;14;20,1;29,2;31,6;49,4792319;24,525;23,9;22,9;21,1
20;08/06/2024;14,8;20,1;29,2;31,6;49,4792319;24,325;23,825;22,9;21,1
21;08/06/2024;15,625;20,125;29,2;31,6;49,4792319;23,85;23,725;22,9;21,1
22;08/06/2024;17,3;20,975;29,2;31,6;49,4792319;23,15;23,525;22,9;21,1
23;08/06/2024;19,025;23,2;29,2;31,6;50,5580745;22,675;23,25;22,9;21,1
0;09/06/2024;20,225;24,575;29,2;31,675;52,0830745;22,325;22,975;22,9;21,1
1;09/06/2024;21,2;25,4;29,3;31,7;53,1080745;21,975;22,775;22,8;21,1
2;09/06/2024;22;26,225;29,625;31,65;54,36528515;21,725;22,525;22,8;21,1
3;09/06/2024;22,65;27,1;30,4;31,6;56,7869171;21,375;22,3;22,775;21,1
4;09/06/2024;23,2;27,775;31,275;31,6;59,3244171;21;22,025;22,65;21,1
5;09/06/2024;23,65;28,275;31,9;31,7;61,4119171;20,675;21,8;22,6;21,1
6;09/06/2024;23,95;28,5;32,35;31,75;62,7119171;20,45;21,525;22,525;21,1
7;09/06/2024;24,225;28,85;32,625;31,9;64,0494171;20,25;21,35;22,4;21,1
8;09/06/2024;24,4;28,95;32,725;32,175;65,0244171;19,975;21,1;22,325;21,1
9;09/06/2024;24,35;28,875;32,8;32,55;65,7619171;19,825;20,9;22,225;21,075
10;09/06/2024;23,75;28,2;32,65;32,775;64,7119171;19,85;20,8;22,1;21
11;09/06/2024;23,45;27,9;32,45;32,8;63,8619171;20,075;20,8;21,975;21
12;09/06/2024;23,3;27,675;32,275;32,8;63,2244171;20,325;20,8;21,9;20,975
13;09/06/2024;23,15;27,575;32,1;32,8;62,7119171;20,4;20,8;21,8;20,9
14;09/06/2024;23,075;27,475;31,95;32,8;62,3119171;20,4;20,8;21,75;20,9
15;09/06/2024;23;27,4;31,9;32,8;62,0869171;20,65;20,8;21,65;20,9
16;09/06/2024;22,9;27,3;31,8;32,725;61,5869171;21,125;20,8;21,6;20,825
17;09/06/2024;22,825;27,225;31,725;32,7;61,2744171;21,55;20,9;21,525;20,8
18;09/06/2024;22,775;27,15;31,7;32,7;61,1119171;22,35;21,075;21,475;20,8
19;09/06/2024;22,625;27,1;31,6;32,7;60,7619171;22,375;21,3;21,4;20,775
20;09/06/2024;22,5;27,075;31,6;32,7;60,6119171;22,05;21,4;21,4;20,7
21;09/06/2024;22,4;27;31,55;32,7;60,3619171;21,5;21,4;21,4;20,625
22;09/06/2024;22,3;27;31,5;32,675;60,1369171;20,85;21,325;21,4;20,6
23;09/06/2024;22,2;26,95;31,5;32,6;59,8369171;20,325;21,125;21,4;20,6
0;10/06/2024;22,125;26,9;31,5;32,6;59,72778515;19,85;20,9;21,4;20,6
1;10/06/2024;22,1;26,9;31,4;32,6;59,5580745;19,425;20,725;21,4;20,575
2;10/06/2024;22,05;26,825;31,4;32,6;59,4830745;19,05;20,475;21,3;20,5
3;10/06/2024;22;26,8;31,4;32,6;59,4580745;18,725;20,225;21,3;20,5
4;10/06/2024;21,925;26,8;31,4;32,6;59,4580745;18,425;20;21,25;20,45
5;10/06/2024;21,9;26,725;31,3;32,6;59,2330745;18,1;19,8;21,15;20,4
6;10/06/2024;21,85;26,7;31,3;32,6;59,2080745;17,825;19,525;21,1;20,4
7;10/06/2024;21,8;26,7;31,3;32,6;59,2080745;17,55;19,35;20,975;20,4
8;10/06/2024;21,8;26,675;31,3;32,6;59,1830745;17,5;19,125;20,9;20,4
9;10/06/2024;21,8;26,6;31,225;32,6;58,9955745;17,65;18,925;20,8;20,35
10;10/06/2024;21,7;26,6;31,2;32,55;58,8580745;18,1;18,9;20,7;20,3
11;10/06/2024;21,7;26,55;31,2;32,525;58,7580745;18,9;18,925;20,6;20,3
12;10/06/2024;21,7;26,5;31,175;32,525;58,6705745;19,85;19,175;20,475;20,3
13;10/06/2024;21,625;26,425;31,1;32,5;58,4330745;20,775;19,45;20,4;20,2
14;10/06/2024;21,475;26,4;31,1;32,5;58,4080745;20,975;19,8;20,375;20,15
15;10/06/2024;21,35;26,3;31,1;32,5;58,3080745;20,875;19,975;20,3;20,1
16;10/06/2024;21,2;26,2;31,1;32,5;58,2080745;20,9;20,1;20,3;20,1
17;10/06/2024;21,05;26,1;31;32,5;57,9580745;21,2;20,225;20,3;20,05
18;10/06/2024;20,95;26,025;31;32,5;57,8830745;21,875;20,35;20,3;20
19;10/06/2024;20,8;26;31;32,5;57,8580745;22,275;20,6;20,375;19,925
20;10/06/2024;20,65;25,925;31;32,425;57,6330745;21,925;20,8;20,4;19,9
21;10/06/2024;20,475;25,9;31;32,4;57,5580745;21,2;20,825;20,4;19,9
22;10/06/2024;20,375;25,9;31;32,4;57,5580745;20,4;20,775;20,425;19,9
23;10/06/2024;20,3;25,9;31;32,4;57,5580745;19,75;20,575;20,5;19,9
0;11/06/2024;20,2;25,9;30,975;32,4;57,5205745;19,175;20,35;20,55;19,825
1;11/06/2024;20,125;25,8;30,925;32,4;57,3455745;18,75;20,1;20,6;19,8
2;11/06/2024;20,1;25,8;30,9;32,4;57,3080745;18,325;19,85;20,6;19,8
3;11/06/2024;20,025;25,8;30,9;32,4;57,3080745;18,025;19,6;20,55;19,8
4;11/06/2024;20;25,8;30,9;32,4;57,3080745;17,75;19,375;20,5;19,8
5;11/06/2024;19,925;25,75;30,9;32,4;57,2580745;17,4;19,175;20,425;19,8
6;11/06/2024;19,9;25,7;30,9;32,4;57,2080745;17,175;18,9;20,4;19,8
7;11/06/2024;19,875;25,7;30,9;32,4;57,2080745;16,925;18,725;20,325;19,8
8;11/06/2024;19,8;25,7;30,9;32,4;57,2080745;16,8;18,475;20,275;19,8
9;11/06/2024;19,8;25,65;30,875;32,4;57,1205745;17,125;18,325;20,15;19,8
10;11/06/2024;19,8;25,6;30,8;32,4;56,9580745;18,025;18,325;20,075;19,8
11;11/06/2024;19,75;25,6;30,8;32,4;56,9580745;18,925;18,5;19,95;19,775
12;11/06/2024;19,7;25,525;30,8;32,4;56,8830745;20;18,8;19,9;19,7
13;11/06/2024;19,625;25,475;30,8;32,4;56,8330745;21,1;19,2;19,825;19,7
14;11/06/2024;19,425;25,4;30,8;32,325;56,6080745;21,375;19,575;19,8;19,6
15;11/06/2024;19,25;25,3;30,8;32,3;56,4580745;21,325;19,85;19,8;19,6
16;11/06/2024;19,05;25,225;30,725;32,3;56,2705745;21,35;20,025;19,8;19,6
17;11/06/2024;18,925;25,125;30,7;32,3;56,1330745;21,825;20,175;19,875;19,6
18;11/06/2024;18,8;25,05;30,7;32,3;56,0580745;22,7;20,4;19,9;19,5
19;11/06/2024;18,675;25;30,7;32,3;56,0080745;23,3;20,75;19,9;19,5
20;11/06/2024;18,525;25;30,7;32,3;56,0080745;23,15;21,025;20;19,5
21;11/06/2024;18,375;25;30,7;32,3;56,0080745;22,375;21,175;20,1;19,425
22;11/06/2024;18,275;24,95;30,7;32,3;55,9580745;21,475;21,15;20,15;19,4
23;11/06/2024;18,2;24,925;30,7;32,3;55,9330745;20,7;21;20,275;19,4
0;12/06/2024;18,1;24,9;30,7;32,3;55,9080745;20,2;20,8;20,3;19,4
